,Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date,Year,Liczba akcji,WK,Aktywa obrotowe,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Przychody ze sprzedaży na akcję,Zysk na akcję,Zysk operacyjny na akcję,Enterprise Value na akcję,EV / P,EV / EBIT,EV / EBITDA,C/ZO,C/WK,Cena / WK Grahama,C/P,C/Z,Close_pct,Open_pct,Max_pct,Min_pct
0,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,02-01-2019,2019/Q1,13921975.0,1.4,3659.0,2325.0,5205.0,0.45,-0.36,-0.08,0.31,0.7,-3.72,-26.33,-2.5,0.14285714285714288,2.656042496679947e-05,0.4444444444444445,-0.5555555555555556,,,,
1,06MAGNA,PLN,2.865,2.98,2.85,2.96,18.58,16-09-2022,2022/Q3,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,29.599999999999998,1.4726368159203982,0.0005260351874888928,6.7272727272727275,26.90909090909091,1380.0,inf,inf,inf
2,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,02-01-2020,2020/Q1,13921975.0,1.67,12476.0,2217.0,3785.0,0.35,0.29,0.32,0.16,0.45,0.48,0.42,0.625,0.11976047904191618,3.332222592469177e-05,0.5714285714285715,0.6896551724137931,-93.24324324324324,-100.0,-100.0,-100.0
3,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,03-02-2020,2020/Q1,13921975.0,1.67,12476.0,2217.0,3785.0,0.35,0.29,0.32,0.16,0.45,0.48,0.42,0.625,0.11976047904191618,3.332222592469177e-05,0.5714285714285715,0.6896551724137931,0.0,,,
4,06MAGNA,PLN,0.2,0.2,0.2,0.2,12.61,02-01-2014,2014/Q1,13921975.0,4.09,31218.0,2102.0,3140.0,0.03,-1.22,-0.46,2.17,65.83,-4.72,-6.59,-0.43478260869565216,0.0488997555012225,3.815337657382679e-05,6.666666666666667,-0.1639344262295082,0.0,inf,inf,inf
5,06MAGNA,PLN,0.22,0.22,0.21,0.22,21.29,02-01-2013,2013/Q1,13921975.0,0.3,56183.0,632.0,2430.0,2.66,-0.35,-0.18,3.45,1.3,-19.01,12.27,-1.2222222222222223,0.7333333333333334,7.184846505551928e-05,0.08270676691729323,-0.6285714285714287,9.999999999999986,9.999999999999986,9.999999999999986,4.999999999999982
6,06MAGNA,PLN,0.33,0.35,0.32,0.35,114.34,02-01-2012,2012/Q1,8673714.0,2.46,93652.0,595.0,96754.0,8.49,0.09,0.06,8.99,1.06,154.12,12.26,5.833333333333333,0.14227642276422764,3.5953117135255625e-06,0.041224970553592456,3.888888888888889,59.09090909090908,50.0,59.09090909090908,52.380952380952394
7,06MAGNA,PLN,0.34,0.4,0.34,0.4,2.29,03-01-2018,2018/Q1,13921975.0,1.84,8268.0,2022.0,6663.0,0.28,0.16,-0.09,0.25,0.9,-2.76,-9.09,-4.444444444444445,0.21739130434782608,4.605641911341394e-05,1.4285714285714286,2.5,14.285714285714302,3.0303030303030276,14.285714285714302,6.25
8,06MAGNA,PLN,0.76,0.76,0.69,0.69,236.24,02-01-2017,2017/Q1,13921975.0,1.64,7597.0,2020.0,5762.0,0.04,-1.88,-0.28,0.62,17.37,-2.21,-2.64,-2.464285714285714,0.42073170731707316,8.866615265998457e-05,17.25,-0.3670212765957447,72.49999999999999,123.52941176470588,89.99999999999999,102.94117647058823
9,06MAGNA,PLN,0.8,0.8,0.78,0.78,186.07,03-01-2011,2011/Q1,8673714.0,2.48,53890.0,10116.0,66584.0,10.36,-2.87,-3.78,12.45,1.2,-3.29,-4.55,-0.20634920634920637,0.31451612903225806,1.016949152542373e-05,0.07528957528957529,-0.27177700348432055,13.043478260869579,5.263157894736836,5.263157894736836,13.043478260869579
10,06MAGNA,PLN,1.13,1.13,1.09,1.12,335.72,04-01-2010,2010/Q1,8673714.0,5.18,23043.0,9299.0,57690.0,18.69,-0.64,-0.08,14.46,0.77,-173.0,10.82,-14.000000000000002,0.21621621621621626,1.67191628476317e-05,0.0599250936329588,-1.7500000000000002,43.58974358974359,41.249999999999986,41.249999999999986,39.74358974358976
