Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date,Date_new
11BIT,PLN,68.1000,69.7900,66.0000,67.0000,381.21,18-12-2015,2015-12-18
11BIT,PLN,67.0000,69.5000,67.0000,69.4000,423.77,21-12-2015,2015-12-21
11BIT,PLN,69.9800,72.0000,69.9100,71.4000,458.39,22-12-2015,2015-12-22
11BIT,PLN,72.0000,72.5000,69.2200,71.1000,612.68,23-12-2015,2015-12-23
11BIT,PLN,70.0100,71.8500,70.0000,70.1600,579.94,28-12-2015,2015-12-28
11BIT,PLN,70.1700,71.6000,70.0100,70.6000,188.24,29-12-2015,2015-12-29
11BIT,PLN,71.1000,71.1000,70.0000,70.6000,88.89,30-12-2015,2015-12-30
11BIT,PLN,71.0000,71.0000,70.0000,70.0000,650.32,04-01-2016,2016-01-04
11BIT,PLN,70.0100,75.9000,70.0000,73.8000,1 262.88,05-01-2016,2016-01-05
11BIT,PLN,70.9000,74.0000,70.1000,72.5000,540.18,07-01-2016,2016-01-07
11BIT,PLN,72.5100,73.5000,70.2300,72.0000,363.68,08-01-2016,2016-01-08
11BIT,PLN,72.4900,72.4900,70.6500,72.4000,245.92,11-01-2016,2016-01-11
11BIT,PLN,72.4000,74.9700,72.4000,73.4000,400.77,12-01-2016,2016-01-12
11BIT,PLN,74.7700,77.4800,74.7600,75.9500,1 068.84,13-01-2016,2016-01-13
11BIT,PLN,75.0000,75.9500,73.5000,75.2000,225.87,14-01-2016,2016-01-14
11BIT,PLN,75.9000,75.9500,73.6100,74.8500,477.78,15-01-2016,2016-01-15
11BIT,PLN,74.0000,74.7500,73.1000,73.8000,134.98,18-01-2016,2016-01-18
11BIT,PLN,74.9900,75.5000,73.8000,75.4500,492.59,19-01-2016,2016-01-19
11BIT,PLN,75.4400,75.4400,72.8700,73.9000,1 106.83,20-01-2016,2016-01-20
11BIT,PLN,74.5500,75.2500,73.0000,74.0000,1 108.16,21-01-2016,2016-01-21
11BIT,PLN,74.6000,75.4400,74.1000,74.9000,197.20,22-01-2016,2016-01-22
11BIT,PLN,74.9000,77.6100,74.9000,77.5000,592.83,25-01-2016,2016-01-25
11BIT,PLN,78.0000,82.4900,78.0000,82.0000,1 438.19,26-01-2016,2016-01-26
11BIT,PLN,83.2500,84.4800,82.0000,82.5000,1 825.78,27-01-2016,2016-01-27
11BIT,PLN,83.0000,83.5000,79.6500,81.5100,2 919.00,28-01-2016,2016-01-28
11BIT,PLN,81.5000,88.4500,81.0000,85.9500,2 900.23,29-01-2016,2016-01-29
11BIT,PLN,87.5000,87.7700,84.1000,86.6600,1 757.50,01-02-2016,2016-02-01
11BIT,PLN,86.1500,86.6600,85.5000,86.0000,987.09,02-02-2016,2016-02-02
11BIT,PLN,85.1500,85.9000,84.5000,85.0000,1 439.83,03-02-2016,2016-02-03
11BIT,PLN,84.9000,85.2000,81.8000,82.0000,1 770.25,04-02-2016,2016-02-04
11BIT,PLN,81.7000,83.8900,78.0000,79.5000,1 877.66,05-02-2016,2016-02-05
11BIT,PLN,79.0000,79.0000,75.0500,75.9100,1 780.17,08-02-2016,2016-02-08
11BIT,PLN,76.0000,76.5000,73.6100,75.8000,649.92,09-02-2016,2016-02-09
11BIT,PLN,76.4900,79.7800,76.0000,78.6100,513.25,10-02-2016,2016-02-10
11BIT,PLN,79.3000,79.3000,74.4000,76.4000,407.96,11-02-2016,2016-02-11
11BIT,PLN,76.8000,77.9900,76.0000,76.4000,102.79,12-02-2016,2016-02-12
11BIT,PLN,76.4000,77.0000,75.0000,76.4000,102.50,15-02-2016,2016-02-15
11BIT,PLN,75.9300,76.5500,74.0000,74.9900,551.14,16-02-2016,2016-02-16
11BIT,PLN,74.0000,74.4400,71.2500,74.3900,879.57,17-02-2016,2016-02-17
11BIT,PLN,75.7000,75.7000,73.5000,74.0000,411.81,18-02-2016,2016-02-18
11BIT,PLN,73.0200,73.6000,72.1000,73.5000,405.38,19-02-2016,2016-02-19
11BIT,PLN,72.5200,74.9000,72.5200,74.7500,182.46,22-02-2016,2016-02-22
11BIT,PLN,74.7500,75.8500,74.0000,75.7000,122.05,23-02-2016,2016-02-23
11BIT,PLN,75.7000,76.0000,73.5700,74.9500,125.11,24-02-2016,2016-02-24
11BIT,PLN,74.0000,74.9500,73.8000,74.0000,336.90,25-02-2016,2016-02-25
11BIT,PLN,74.4000,76.2500,74.4000,75.5000,177.27,26-02-2016,2016-02-26
11BIT,PLN,75.5000,76.1500,74.5000,74.5000,351.95,29-02-2016,2016-02-29
11BIT,PLN,74.1100,75.4500,74.1100,74.9900,525.71,01-03-2016,2016-03-01
11BIT,PLN,75.7700,76.0000,74.5000,75.0000,143.73,02-03-2016,2016-03-02
11BIT,PLN,75.9700,75.9700,74.0000,74.5000,177.71,03-03-2016,2016-03-03
11BIT,PLN,74.0000,74.7000,74.0000,74.1000,195.68,04-03-2016,2016-03-04
11BIT,PLN,74.5000,74.9800,74.0000,74.5900,520.03,07-03-2016,2016-03-07
11BIT,PLN,75.2000,78.0000,75.0000,78.0000,606.00,08-03-2016,2016-03-08
11BIT,PLN,78.5000,81.6000,78.0000,80.0500,920.75,09-03-2016,2016-03-09
11BIT,PLN,80.4500,81.7000,78.6000,80.7800,702.91,10-03-2016,2016-03-10
11BIT,PLN,79.1000,80.9000,79.1000,79.5000,237.39,11-03-2016,2016-03-11
11BIT,PLN,79.6200,81.5000,79.3000,80.8000,282.26,14-03-2016,2016-03-14
11BIT,PLN,80.8000,80.8000,78.8800,79.2900,150.38,15-03-2016,2016-03-15
11BIT,PLN,79.4900,80.2000,79.0000,80.0000,226.65,16-03-2016,2016-03-16
11BIT,PLN,80.1400,80.1900,78.5000,80.1900,127.51,17-03-2016,2016-03-17
11BIT,PLN,80.1500,80.8000,78.7000,80.7000,252.41,18-03-2016,2016-03-18
11BIT,PLN,80.8000,82.5000,79.1500,79.8000,583.22,21-03-2016,2016-03-21
11BIT,PLN,75.5100,78.5000,74.5000,78.0000,905.70,22-03-2016,2016-03-22
11BIT,PLN,78.3000,78.9000,69.0000,71.0000,8 041.39,23-03-2016,2016-03-23
11BIT,PLN,69.9900,72.2900,68.1100,71.8100,806.99,24-03-2016,2016-03-24
11BIT,PLN,72.2900,72.2900,70.8500,71.5100,261.99,29-03-2016,2016-03-29
11BIT,PLN,71.5500,72.3500,71.5500,72.2000,301.13,30-03-2016,2016-03-30
11BIT,PLN,72.4500,72.7000,72.0000,72.4000,412.92,31-03-2016,2016-03-31
11BIT,PLN,71.9800,72.0100,71.0000,71.3500,465.88,01-04-2016,2016-04-01
11BIT,PLN,71.0000,71.3500,70.7000,71.0000,358.01,04-04-2016,2016-04-04
11BIT,PLN,70.6300,70.6600,70.0000,70.0000,473.48,05-04-2016,2016-04-05
11BIT,PLN,70.0000,70.9900,70.0000,70.0000,170.49,06-04-2016,2016-04-06
11BIT,PLN,69.9100,70.2000,69.0000,70.0000,219.53,07-04-2016,2016-04-07
11BIT,PLN,70.7900,70.9900,70.0000,70.9900,192.94,08-04-2016,2016-04-08
11BIT,PLN,70.9000,70.9000,70.0000,70.0000,223.55,11-04-2016,2016-04-11
11BIT,PLN,70.1900,70.2500,69.7000,70.0000,423.04,12-04-2016,2016-04-12
11BIT,PLN,70.0000,70.4000,69.0000,69.4000,613.61,13-04-2016,2016-04-13
11BIT,PLN,69.9000,69.9000,68.0300,68.7000,546.58,14-04-2016,2016-04-14
11BIT,PLN,68.5000,70.3400,68.5000,70.3400,570.80,15-04-2016,2016-04-15
11BIT,PLN,68.5000,70.3500,68.5000,70.3500,373.61,18-04-2016,2016-04-18
11BIT,PLN,70.5000,71.7000,70.0000,70.6100,183.05,19-04-2016,2016-04-19
11BIT,PLN,71.6000,71.7000,70.5500,71.0000,131.87,20-04-2016,2016-04-20
11BIT,PLN,71.5000,72.6800,70.0000,70.0600,469.19,21-04-2016,2016-04-21
11BIT,PLN,70.0500,71.0000,69.8000,70.2000,147.55,22-04-2016,2016-04-22
11BIT,PLN,71.0000,71.0000,69.5000,69.6500,179.61,25-04-2016,2016-04-25
11BIT,PLN,69.3100,71.0000,69.0000,70.7000,284.55,26-04-2016,2016-04-26
11BIT,PLN,70.4000,71.0000,70.0000,70.0100,107.06,27-04-2016,2016-04-27
11BIT,PLN,70.0000,70.5000,69.7500,69.9100,106.71,28-04-2016,2016-04-28
11BIT,PLN,70.0000,71.1000,69.2500,71.0000,282.01,29-04-2016,2016-04-29
11BIT,PLN,71.0000,71.0000,70.0000,70.0200,138.39,02-05-2016,2016-05-02
11BIT,PLN,70.6900,70.6900,70.0000,70.5000,187.74,04-05-2016,2016-05-04
11BIT,PLN,70.0000,70.5000,70.0000,70.0000,526.37,05-05-2016,2016-05-05
11BIT,PLN,70.1400,70.1400,69.8500,70.0000,218.49,06-05-2016,2016-05-06
11BIT,PLN,70.0000,70.4900,69.0000,69.0000,371.05,09-05-2016,2016-05-09
11BIT,PLN,69.1000,70.0000,68.0000,70.0000,207.35,10-05-2016,2016-05-10
11BIT,PLN,69.9800,70.0000,68.5500,70.0000,272.11,11-05-2016,2016-05-11
11BIT,PLN,69.0000,69.5000,69.0000,69.1100,20.33,12-05-2016,2016-05-12
11BIT,PLN,69.1000,69.5000,65.4100,68.0000,216.48,13-05-2016,2016-05-13
11BIT,PLN,67.6000,68.9800,67.6000,68.9200,75.34,16-05-2016,2016-05-16
11BIT,PLN,71.0000,71.5000,70.0000,70.9700,676.80,17-05-2016,2016-05-17
11BIT,PLN,70.9000,71.3900,70.0000,71.3800,196.15,18-05-2016,2016-05-18
11BIT,PLN,71.3700,72.6000,71.3700,72.5800,466.22,19-05-2016,2016-05-19
11BIT,PLN,72.8900,74.0000,72.1000,73.8000,456.81,20-05-2016,2016-05-20
11BIT,PLN,74.2000,76.3000,74.0000,75.6700,465.89,23-05-2016,2016-05-23
11BIT,PLN,75.8700,77.7700,75.8700,77.7000,619.51,24-05-2016,2016-05-24
11BIT,PLN,77.7600,78.0000,75.1500,75.7000,171.97,25-05-2016,2016-05-25
11BIT,PLN,75.5100,77.4000,74.0000,74.0000,150.30,27-05-2016,2016-05-27
11BIT,PLN,74.0100,74.0100,71.8500,72.7000,411.59,30-05-2016,2016-05-30
11BIT,PLN,72.9000,73.2500,71.7000,72.0000,68.37,31-05-2016,2016-05-31
11BIT,PLN,72.0000,72.0000,70.0000,70.0500,152.28,01-06-2016,2016-06-01
11BIT,PLN,72.4400,74.7400,70.5100,74.6900,675.29,02-06-2016,2016-06-02
11BIT,PLN,74.8000,74.8000,73.1000,74.1900,99.34,03-06-2016,2016-06-03
11BIT,PLN,73.9900,73.9900,72.3000,72.5000,111.92,06-06-2016,2016-06-06
11BIT,PLN,72.8900,74.3000,72.5500,74.0000,227.90,07-06-2016,2016-06-07
11BIT,PLN,73.9700,73.9700,72.0000,72.3500,425.91,08-06-2016,2016-06-08
11BIT,PLN,72.1000,72.8800,72.0000,72.5000,27.04,09-06-2016,2016-06-09
11BIT,PLN,72.0000,73.5000,72.0000,73.5000,104.26,10-06-2016,2016-06-10
11BIT,PLN,71.6000,73.9500,71.6000,73.8000,224.67,13-06-2016,2016-06-13
11BIT,PLN,72.1000,73.0100,72.1000,72.1000,107.98,14-06-2016,2016-06-14
11BIT,PLN,72.2000,73.6000,72.2000,73.6000,90.38,15-06-2016,2016-06-15
11BIT,PLN,73.3800,73.3800,71.6000,71.6000,172.96,16-06-2016,2016-06-16
11BIT,PLN,71.5100,72.9000,71.5100,71.8000,89.27,17-06-2016,2016-06-17
11BIT,PLN,72.3300,73.5000,72.3300,72.8000,116.55,20-06-2016,2016-06-20
11BIT,PLN,73.0000,73.5000,72.8000,73.3900,122.53,21-06-2016,2016-06-21
11BIT,PLN,73.4900,74.9000,73.1000,74.5000,373.71,22-06-2016,2016-06-22
11BIT,PLN,74.7000,76.2000,74.0000,76.0000,531.40,23-06-2016,2016-06-23
11BIT,PLN,70.0200,75.1000,69.7500,75.0000,1 804.71,24-06-2016,2016-06-24
11BIT,PLN,75.0000,75.8900,74.0000,75.0000,397.90,27-06-2016,2016-06-27
11BIT,PLN,75.2000,75.2000,75.0000,75.1500,70.02,28-06-2016,2016-06-28
11BIT,PLN,75.0000,76.3800,75.0000,76.3800,130.00,29-06-2016,2016-06-29
11BIT,PLN,76.4000,77.0000,75.5000,76.9900,407.27,30-06-2016,2016-06-30
11BIT,PLN,76.6000,78.0000,76.0000,77.8800,375.27,01-07-2016,2016-07-01
11BIT,PLN,77.4800,79.8000,77.0000,79.8000,907.28,04-07-2016,2016-07-04
11BIT,PLN,79.5000,81.5000,79.5000,81.4000,764.88,05-07-2016,2016-07-05
11BIT,PLN,82.9000,86.4900,81.9000,83.3000,1 531.49,06-07-2016,2016-07-06
11BIT,PLN,83.1000,86.0000,83.1000,85.0000,1 047.57,07-07-2016,2016-07-07
11BIT,PLN,84.9000,84.9000,81.6700,82.0000,503.01,08-07-2016,2016-07-08
11BIT,PLN,82.3000,84.7000,82.3000,83.8900,346.31,11-07-2016,2016-07-11
11BIT,PLN,83.9900,86.2000,83.5000,85.8400,599.83,12-07-2016,2016-07-12
11BIT,PLN,85.9900,86.0000,84.6000,85.5000,253.50,13-07-2016,2016-07-13
11BIT,PLN,85.5000,85.5000,84.3200,84.3200,144.04,14-07-2016,2016-07-14
11BIT,PLN,85.0000,87.6800,84.5000,86.9500,732.50,15-07-2016,2016-07-15
11BIT,PLN,87.3900,87.3900,85.2000,85.9000,183.39,18-07-2016,2016-07-18
11BIT,PLN,86.0000,86.0000,83.5000,85.7900,192.50,19-07-2016,2016-07-19
11BIT,PLN,85.8000,90.3500,85.5100,89.9000,1 388.22,20-07-2016,2016-07-20
11BIT,PLN,90.5000,91.9900,87.6100,88.0000,574.14,21-07-2016,2016-07-21
11BIT,PLN,87.9800,91.0000,87.2100,90.5000,820.48,22-07-2016,2016-07-22
11BIT,PLN,91.0000,95.0000,90.0000,94.2000,953.16,25-07-2016,2016-07-25
11BIT,PLN,94.9800,96.0000,92.1100,93.5000,839.86,26-07-2016,2016-07-26
11BIT,PLN,93.5000,94.0000,92.0000,93.9000,307.16,27-07-2016,2016-07-27
11BIT,PLN,92.3200,92.4100,91.5600,91.7700,298.99,28-07-2016,2016-07-28
11BIT,PLN,91.6000,93.5000,91.5000,92.4400,448.71,29-07-2016,2016-07-29
11BIT,PLN,92.5000,94.7000,92.4400,93.9800,437.05,01-08-2016,2016-08-01
11BIT,PLN,94.0000,94.5000,91.6000,91.7000,530.59,02-08-2016,2016-08-02
11BIT,PLN,92.0000,93.0000,89.5100,90.9000,347.52,03-08-2016,2016-08-03
11BIT,PLN,91.6000,91.6000,88.4100,88.5000,528.62,04-08-2016,2016-08-04
11BIT,PLN,90.8000,92.4600,88.5000,92.0000,338.55,05-08-2016,2016-08-05
11BIT,PLN,92.9700,93.7800,92.0000,93.6300,282.76,08-08-2016,2016-08-08
11BIT,PLN,93.6400,95.0000,92.6500,94.1000,133.83,09-08-2016,2016-08-09
