Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date
06MAGNA,PLN,1.1300,1.1300,1.0900,1.1200,335.72,04-01-2010
08OCTAVA,PLN,2.4200,2.5500,2.4200,2.5500,125.13,04-01-2010
14ZACH,PLN,0.0000,0.0000,0.0000,1.1700,0.00,04-01-2010
ABMSOLID,PLN,7.9000,8.4400,7.7000,8.3000,164.86,04-01-2010
ABPL,PLN,14.4700,14.4700,14.2300,14.3800,79.40,04-01-2010
ACE,PLN,7.6000,7.8300,7.6000,7.6900,108.34,04-01-2010
ACTION,PLN,16.1500,16.9900,16.1500,16.9500,58.68,04-01-2010
ADVADIS,PLN,0.3500,0.3500,0.3300,0.3400,594.52,04-01-2010
AGORA,PLN,22.4500,22.6000,22.2000,22.4200,4 935.46,04-01-2010
ALCHEMIA,PLN,6.4800,6.4900,6.4000,6.4500,178.64,04-01-2010
ALMA,PLN,26.2500,26.4700,25.5000,26.2500,126.60,04-01-2010
ALTERCO,PLN,42.1100,42.1100,42.1100,42.1100,16.84,04-01-2010
AMBRA,PLN,6.2000,6.8000,6.0600,6.7600,726.60,04-01-2010
AMICA,PLN,18.0000,18.3800,18.0000,18.3500,1 026.76,04-01-2010
AMPLI,PLN,2.9000,2.9500,2.8700,2.9500,22.51,04-01-2010
AMREST,PLN,82.0000,83.4000,81.5000,82.3000,2 288.78,04-01-2010
ANTI,PLN,3.9900,4.2500,3.9600,4.1500,550.62,04-01-2010
APATOR,PLN,16.0100,16.0800,15.9100,16.0600,24.19,04-01-2010
APLISENS,PLN,6.7500,6.8600,6.6500,6.6500,22.28,04-01-2010
ARCTIC,PLN,16.1500,16.2500,15.9100,16.2000,1 022.32,04-01-2010
ARCUS,PLN,6.7000,6.7900,6.3000,6.3000,299.04,04-01-2010
ARMATURA,PLN,2.7200,2.9100,2.7100,2.8900,695.67,04-01-2010
ARTERIA,PLN,15.7000,15.7000,14.2000,14.4800,43.41,04-01-2010
ASBIS,PLN,4.2000,4.2800,4.1000,4.1400,74.53,04-01-2010
ASSECOBS,PLN,9.0000,9.0000,8.8500,8.8700,108.14,04-01-2010
ASSECOPOL,PLN,63.0000,63.9500,63.0000,63.1500,13 758.52,04-01-2010
ASSECOSEE,PLN,15.5100,16.9900,15.5100,16.9900,2.46,04-01-2010
ASSECOSLO,PLN,24.2000,24.2000,23.7000,23.7000,2.81,04-01-2010
ASTARTA,PLN,42.0000,42.0000,40.0400,41.0000,8 426.73,04-01-2010
ATLANTAPL,PLN,7.9000,8.0000,7.4500,7.8000,376.50,04-01-2010
ATLANTIS,PLN,1.9600,2.0200,1.9600,1.9900,394.12,04-01-2010
ATLASEST,PLN,3.2500,3.2500,3.2500,3.2500,0.01,04-01-2010
ATM,PLN,9.4800,9.6000,9.3000,9.4500,786.38,04-01-2010
ATMGRUPA,PLN,3.2000,3.2000,3.1000,3.1900,519.89,04-01-2010
ATREM,PLN,15.9000,15.9000,15.6000,15.8000,496.78,04-01-2010
AZOTYTARNOW,PLN,14.5100,15.0000,14.5100,14.5500,221.34,04-01-2010
B3SYSTEM,PLN,2.3500,2.3600,2.3100,2.3600,26.88,04-01-2010
BAKALLAND,PLN,4.3300,4.3300,4.1700,4.1700,29.55,04-01-2010
BANKBPH,PLN,83.0000,87.9000,83.0000,86.0500,2 340.26,04-01-2010
BANKIER.PL,PLN,0.0000,0.0000,0.0000,8.6700,0.00,04-01-2010
BARLINEK,PLN,3.5800,3.8000,3.5800,3.7700,948.43,04-01-2010
BBICAPNFI,PLN,1.9000,1.9300,1.8500,1.9300,1 219.60,04-01-2010
BBIDEVNFI,PLN,0.3900,0.4000,0.3800,0.3900,188.61,04-01-2010
BBIZENNFI,PLN,0.7300,0.7400,0.7200,0.7200,286.08,04-01-2010
BEDZIN,PLN,0.0000,0.0000,0.0000,27.4700,0.00,04-01-2010
BEEFSAN,PLN,0.3400,0.3400,0.3300,0.3400,47.41,04-01-2010
BEST,PLN,32.8900,32.8900,32.8900,32.8900,0.07,04-01-2010
BETACOM,PLN,8.6600,8.6600,8.1800,8.6000,1.18,04-01-2010
BIOTON,PLN,0.2300,0.2400,0.2200,0.2300,9 126.24,04-01-2010
BIPROMET,PLN,5.6700,5.9000,5.6700,5.9000,43.48,04-01-2010
BLACKLION,PLN,2.7800,2.9900,2.7600,2.9400,82.03,04-01-2010
BMPAG,PLN,3.2000,3.4400,3.2000,3.4400,90.42,04-01-2010
BOGDANKA,PLN,71.0000,72.4500,71.0000,72.4500,489.91,04-01-2010
BOMI,PLN,12.4000,12.7000,12.4000,12.4500,434.37,04-01-2010
BORYSZEW,PLN,6.5000,6.7300,6.4300,6.4400,11 673.18,04-01-2010
BOS,PLN,0.0000,0.0000,0.0000,81.6000,0.00,04-01-2010
BRE,PLN,259.9000,271.9000,256.0000,271.4000,44 504.70,04-01-2010
BUDIMEX,PLN,73.5000,74.3500,73.0000,73.4000,892.40,04-01-2010
BUDOPOL,PLN,1.1800,1.2200,1.1700,1.1900,291.40,04-01-2010
BUDVARCEN,PLN,2.6200,2.6800,2.6100,2.6800,3.65,04-01-2010
BUMECH,PLN,9.0500,9.0500,9.0000,9.0000,13.95,04-01-2010
BYTOM,PLN,0.7900,0.8100,0.7800,0.8100,52.03,04-01-2010
BZWBK,PLN,188.0000,191.9000,187.1000,188.5000,33 251.24,04-01-2010
CALATRAVA,PLN,0.2600,0.2600,0.2500,0.2600,139.38,04-01-2010
CAMMEDIA,PLN,9.4000,9.4400,9.1000,9.3300,43.29,04-01-2010
CAPITAL,PLN,2.1000,2.2600,2.0900,2.2400,394.06,04-01-2010
CASHFLOW,PLN,2.1500,2.2000,2.1400,2.1600,29.36,04-01-2010
CCC,PLN,48.2000,50.4500,48.0000,50.4500,446.48,04-01-2010
CCIINT,PLN,27.9500,28.5000,27.5000,28.5000,516.24,04-01-2010
CEDC,PLN,85.5000,85.5000,81.0500,82.7000,3 461.12,04-01-2010
CENTKLIMA,PLN,11.4800,11.4800,11.2500,11.4500,90.38,04-01-2010
CENTROZAP,PLN,0.4900,0.5000,0.4700,0.4800,6 130.96,04-01-2010
CERSANIT,PLN,16.3000,16.6800,16.3000,16.5700,2 049.23,04-01-2010
FASING,PLN,16.6700,17.4500,16.6700,17.4500,23.57,04-01-2010
FERRUM,PLN,12.3000,12.7500,12.0200,12.4500,303.68,04-01-2010
FON,PLN,0.5400,0.6100,0.5400,0.5900,1 327.39,04-01-2010
FORTE,PLN,13.7900,13.7900,13.3500,13.5100,29.52,04-01-2010
FORTISPL,PLN,0.0000,0.0000,0.0000,164.5000,0.00,04-01-2010
FOTA,PLN,12.9500,12.9500,12.8100,12.8100,72.77,04-01-2010
GANT,PLN,23.4500,23.6500,22.0200,22.8200,4 514.22,04-01-2010
GASTELZUR,PLN,1.8800,2.0300,1.8800,1.9900,2 972.26,04-01-2010
GETIN,PLN,8.8600,9.0200,8.8600,8.9500,27 677.38,04-01-2010
GETINOBLE,PLN,5.1900,5.2300,5.1400,5.2100,625.92,04-01-2010
GFPREMIUM,PLN,13.3500,14.1000,13.3500,14.1000,4.86,04-01-2010
GINOROSSI,PLN,2.2700,2.3200,2.2500,2.2700,111.31,04-01-2010
GRAAL,PLN,11.7400,12.4800,11.5000,12.4000,334.63,04-01-2010
GRAJEWO,PLN,15.4000,16.2000,15.4000,16.2000,25.28,04-01-2010
GROCLIN,PLN,12.8800,13.4000,12.8800,13.2500,311.25,04-01-2010
GTC,PLN,25.6000,26.2800,25.6000,26.2800,17 061.77,04-01-2010
HANDLOWY,PLN,70.8000,71.5000,70.8000,71.5000,5 670.70,04-01-2010
HARDEX,PLN,40.9000,41.0000,40.5000,40.9500,77.53,04-01-2010
HAWE,PLN,2.9500,3.0500,2.9000,3.0300,1 260.31,04-01-2010
HBPOLSKA,PLN,3.4600,3.6700,3.4600,3.6300,3 484.89,04-01-2010
HELIO,PLN,10.7000,11.2000,10.2100,10.2100,26.58,04-01-2010
HERMAN,PLN,0.0000,0.0000,0.0000,1.2400,0.00,04-01-2010
HTLSTREFA,PLN,13.5500,13.6400,13.5500,13.6400,317.87,04-01-2010
HUTMEN,PLN,4.8600,4.9300,4.7200,4.9300,386.00,04-01-2010
HYDROTOR,PLN,32.7000,33.7000,32.0000,32.0000,157.11,04-01-2010
HYGIENIKA,PLN,2.0200,2.0200,1.9400,2.0200,138.03,04-01-2010
HYPERION,PLN,6.7500,6.9100,6.6200,6.8900,47.96,04-01-2010
IDMSA,PLN,2.4000,2.5400,2.3900,2.5300,8 604.33,04-01-2010
IGROUP,PLN,1.5400,1.5700,1.4300,1.4700,2 106.60,04-01-2010
IMMOEAST,PLN,16.0000,16.5200,15.8100,16.5000,11 369.18,04-01-2010
